Document_Number,Content,date
63,"Akhil Gujarat Vidyut Kamdar Sangh calls off protest for now VADODARA: Akhil Gujarat Vidyut Kamdar Sangh (AGVKS), a registered union of Gujarat Urja Vikas Nigam Limited (GUVNL), on Friday postponed its agitation following an assurance given by Gujarat government to address its long-pending demand on pay revision. The union of GEB employees, which has a strength of over 32,000 members across all the seven companies of GUVNL, had launched a mass protest against the state government. Hundreds of employees had staged protests and raised slogans across all the circle offices pressing for their demand and threatened to go on mass casual leave. After the protest, AGVKS senior secretary general Baldev Patel was called for an emergency meeting at Gandhinagar where he met energy minister Chiman Sapariya, deputy chief minister Nitin Patel and senior BJP leaders, including state party spokesperson Bharat Pandya among others. “We have received an assurance that the benefits of the Seventh Pay Commission will be passed on to us. Also, we had demanded that the state government’s recent move to hike pay of fixed-pay staffers should be extended to ‘vidyut sahayakas’ which has been accepted. Hence, we have postponed our agitation,” said AGVKS’ secretary general Girish Joshi. According to the union office-bearers, once Central government announces any pay commission, the benefits were earlier immediately passed on to GEB employees. But this time even as the benefits of Seventh Pay Commission have been passed on to all state and central government employees, the GEB employees are waiting for the Seventh Pay Commission benefits since a year.",18/2/17
64,"Kurla tense after statue near church is desecrated MUMBAI: A statue of Mother Mary was desecrated by unidentified persons in Kurla’s Christian Gaon in the wee hours on Sunday, leading to tension in the area. Residents poured out on the streets and protested and shops downed shutters. This is the fourth such incident in the area, which is home to over 7,000 Christians, in the last five-six years.Police rushed to the spot and assured angry residents of strict action against the perpetrators and managed to bring the situation under control by noon. They are trying to obtain CCTV footage of the crime to get leads on the culprits.The grotto of the Virgin Mary, installed on a roadside in Christian Gaon, was vandalised around 4am, allegedly by three men who had come on a bike.“Around 4am, I heard the smashing of glass. I rushed out, but did not see anyone,” said Alefiya Gomes, a teacher. “My neighbour, Ashish Khasia, saw some youths running from the spot and tried to stop them, but they managed to escape.” Homemaker Mary Pereira, who later led prayers before the statue, said, “Even a cross in the area was damaged.” As news of the vandalism spread, residents gathered at the spot, offered prayers and held up placards that said, ‘Do not test our tolerance’. Resident Diago D’Mello claimed that four to five locals, including a pregnant woman, were made to sit in the police van for protesting against the delay in police action.Senior inspector Bharat Bohite of Vinoba Bhave Nagar police station said, “We have registered a case against unknown persons under IPC section 295 for injuring or defiling place of worship with intent to insult the religion of any class, section 427 for mischief causing damage to the amount of Rs 50 and section 34 for common participation in a crime.",19/2/17
65,"Turkish firm Celebi keen to buy Air India's ground handling unit NEW DELHI: Turkey's Celebi Aviation Holding has shown interest in buying Air India's ground handling operations, aviation secretary Rajiv Nayan Choubey said on Friday.Celebi also provides ground handling services in India.Celebi has written to the ministry showing interest to bid for the Indian flag carrier's ground handing operations, Choubey told Reuters.Prime Minister Narendra Modi's cabinet in June approved plans to privatise Air India after successive governments spent billions of dollars to keep the debt-laden carrier flying.Last month, Finance Minister Arun Jaitley indicated that an expeditious decision would be taken on Air India disinvestment, with at least two parties having formally expressed interest in buying stake in the national carrier.A group of ministers, headed by Jaitley, is working on the modalities of the strategic disinvestment of debt-laden Air India, which has been making losses for long.""These decisions are to be taken expeditiously but in their normal course,"" Jaitley had said.The Union Cabinet had in June given in-principle approval for strategic disinvestment of the carrier and its five subsidiaries.Aviation services provider Bird Group has written to the government expressing interest in acquiring Air India's ground handling subsidiary AIATSL.""After IndiGo, Bird Group has written a letter with an expression of interest in Air India,"" the aviation secretary had said last month. Surviving on taxpayers' money, the airline has been in the red for long and various proposals, including government think tank Niti Aayog's suggestion for complete privatisation, have been made.The airline has a debt of more than Rs 52,000 crore and is surviving on a Rs 30,000-crore bailout package extended by the previous UPA government in 2012.",8/9/2017
66,"Rasila's kin demand detailed probe KOZHIKODE: The relatives of murdered IT professional Rasila Raju OP said on Tuesday that their suspicions have deepened after visiting the crime scene at the ninth floor of the Infosys building at Hinjewadi campus in Pune late on Monday night. They strongly suspect that more than one person could have been involved in the murder and demanded a detailed probe into the incident covering all aspects, including security lapses at the company.Her father O Raju told TOI that there was a total security lapse that led to her murder within a restricted area. Rasila, a systems engineer with Infosys, was found dead in the conference room on Sunday evening after being strangulated with a computer cable. Bhaben Saikia, a security guard, was arrested in connection with the murder.“It is suspicious how the security guard, who did not have access to the restricted area, managed to gain an entry. Also we haven’t got convincing answers on how Rasila was the only employee in her section at the time of the incident. Also there were no women security personnel at the facility where most workers are women,” said Raju.He said that Rasila had told him that her Bengaluru transfer request had been approved, but her supervisor was not relieving her from Pune. “I told her to resign her job if the transfer did not materialize. I wouldn't have lost my daughter if the company had approved her transfer request submitted four months ago,” he said.Rasila's uncle Suresh N P, who accompanied her father to Pune, said that the murder was brutal. “We strongly believe that one person alone cannot carry it out, that too after gaining access to the restricted area. Her face was severely disfigured and there were multiple injury marks on her body. She had been kicked in the chest. We have asked the police to conduct a comprehensive probe and establish whether others were involved in the murder,” he said, adding that Rasila’s mobile phone was missing.Suresh said that the family insisted on visiting the scene before receiving the body after autopsy at the General Hospital in Pune following which company authorities took them to the Infosys building at 11pm on Monday night.He said that they have received information from Malayali Samajam’s office bearers in Pune – who had been involved in discussions with the company – that Infosys has agreed to pay an ex-gratia sum of Rs 1 crore to the nominee of the deceased. Also the company has assured to provide an offer of employment to a family member.Rasila, who joined Infosys here six months ago following her training in Mysuru, was found strangulated to death in the Offshore Dedicated Centre (ODC) room located on the ninth floor of a building on the campus around 8.30pm on Sunday.",31/1/17
67,"SC order on citizenship to Chakmas and Hajongs not implementable: Kiren�Rijiju Union Minister Kiren Rijiju on Tuesday stated that the Supreme Court order directing the government to grant citizenship to Chakma and Hajong refugees in Arunachal Pradesh is not implementable. Rijijus comment came a week after Union Home Ministry cleared the decks for citizenship to Chakma and Hajong refugees of East Pakistan origin on the basis of the Supreme Court directive.Rijiju had earlier said that the Centre will urge the Supreme Court to modify its order of granting citizenship to the Hajong and Chakma refugees and ensure that the rights of the native Arunachali people are not undermined.Chief Minister of Arunachal Pradesh Pema Khandu has also opposed the idea of granting citizenship to Chakma and Hajong refugees who migrated to India from the erstwhile East Pakistan about five decades back. The CM apprehends that citizenship status to the refugees shall alter the demography of the state.As mentioned by me in our meeting recently, I reiterate that the people of my state are not ready to accept any infringement on the constitutional protection bestowed on the tribals of Arunachal Pradesh and want to ensure that the ethnic composition and the special rights enjoyed by the tribes of my state are safeguarded at all cost, Khandu had said in a letter to Union Minister of Home Affairs Rajnath Singh.The Arunachal student unions have also expressed dissatisfaction over the decision to grant citizenship to the refugees. The Centres reported decision to grant citizenship to the Chakma and Hajong refugees in our state is very unfortunate. It amounts to treating the indigenous people of a strategic frontier state as second class citizens of the country, All Arunachal Pradesh Students Union (AAPSU) general secretary Tobom Dai had said.Chakmas and Hajongs were originally inhabitants of Chittagong Hill Tracts, which at present is in Bangladesh, who migrated to India through the Lushai Hill district of Assam, an area that is presently in Mizoram.",19/9/17
68,"Man of Steel' Hemant Gupta scales Mount Everest JAMSHEDPUR: Tata Steel employee Hemant Gupta, who was steadily progressing towards the summit in his Everest expedition, has conquered Mount Everest this morning.The 27-year-old Hemant completed his B Tech in Metallurgical Eng & Material Science from IIT Bombay in 2011 and joined Tata Steel as a management trainee in Tata Steel's new plant in Kalinganagar, Orissa.As a MT, he had undertaken TSAF Outdoor Leadership Course in Uttarkashi Himalaya. His first tryst with adventure came through his successfully completing the one month Basic Mountaineering Course from the National Mountaineering Institute in Manali.TSAF then included him in the TSAF organized Chamser Kangri Expedition in which he reached upto 21,100 feet. His love for adventure made him join the Adventure Programme Dept in September 2013.Since then he has climbed Mt Aconcagua (22,860 ft) - highest peak of America (one of the seven summits) in 2015, Mt Bhagirathi II (21,310 ft) in Gangotri region, Climbed Island Peak (20,400 ft) in Nepal, Mt Kanamo (19,600ft) in Spiti Valley.Payo Murmu, another employee of Tata Steel, who was also on this expedition with Hemant was not able to make the final attempt towards the summit due to inclement weather. Both the mountaineers are expected to be back at base camp by Monday.At the start of the expedition, Bachendri Pal, Chief Adventure Programme, Tata Steel had said, ""Everest has always represented the epitome of challenge of human endeavor, of leadership, of knowing one's strengths and weaknesses, of being humble in one's approach and of testing one's capabilities"".",28/5/17
69,"Kripashankar DA case: HC gives govt 2 weeks to file probe report The Bombay High Court on Monday gave Maharashtra government last chance to file a report on its probe in the alleged disproportionate assets case against former Mumbai Congress chief Kripashankar Singh. A division bench of justices R V More and Shalini Phansalkar-Joshi took strong exception to government not filing its report despite several directions to do so since October last year.The first order asking you (government) to file report on the probe was given on October 12. Since then you have just been seeking time. Now we are giving you two weeks more. This is the last chance, Justice More said. The bench was hearing a petition filed by activist Tulsidas Nair seeking CBI probe against Singh while claiming that state machinery has not done proper probe in the case.In 2013, a special investigation team of Economic Offences Wing of the city police had registered an FIR against Singh for allegedly amassing wealth disproportionate to his known source of income, following the high courts directions.",9/1/2017
70,"Of 30, just 1 hospital legal in Mhaisal SANGLI/MIRAJ: Barring a single hospital, all other 29 clinical establishments in Mhaisal village are unregistered and have been running illegally for last many years. Besides, a majority of the 306 clinical establishments in the rural parts of Miraj taluka, which also includes Mhaisal village, are also illegal.This was revealed by a member of the patient welfare committee at the Mhaisal primary health centre (PHC) on Wednesday. Among the illegal clinical establishments in Mhaisal, 25 are clinics while the four are hospitals. Surprisingly, the Mhaisal PHC is just a walking distance from homeopath Babasaheb Khidrapure hospital. Khidrapure has been arrested in the abortion racket of Sangli.Ashok Wadar, a member of the patient welfare committee at the state-run PHC in Mhaisal village, said, We knew about this (illegal clinical establishments) for many years. The staff at the PHC conducts audit of these clinics and hospital every year. And the report is given to higher authorities, including taluka health officer (THO) and district health officer (DHO), every year. We don\t know why they have\n initiated any action against these clinics and hospitals all these years.When contacted, V P Sawant, taluka health officer, Miraj, said, Among the 306 clinical establishments in rural parts of Miraj taluka, most are only clinics and dispensaries. And only 15 are hospitals or nursing homes. Among these 15, eight hospitals have the registration as per the Bombay Nursing Home Act while remaining seven are running without the registration. Bhupal Girigosavi, additional district health officer of Sangli district, said, We are going to initiate mass surveillance of all the clinical establishments in Sangli district from tomorrow (March 9). We will also issue show-cause notices to those running without mandatory registrations. Nana Kamble, a social activist from Mhaisal, said, Since medical officers of the state-run primary health centres have no power to initiate action against unregistered hospital or clinics and sonography centres, they are helpless. Despite being informed, the DHO has not taken any action against any of these hospitals or clinics. That simply means that he is responsible for all the clinical establishments running illegally in Mhaisal and should be punished.DHO Ramchandra Hankare said, As per the Bombay Nursing Home Act, nursing home owners should furnish documents for seeking registration, based on which I can either issue or cancel their registrations. But none of the hospitals in Mhaisal have applied for any registration. Meanwhile, a ten-day drive to identify illegal hospitals will kickstart in Sangli district from March 9.",8/3/2017
71,"Punjab civic polls: Congress celebrates sweeping victory, SAD-BJP allege poll�rigging The Amarinder Singh-led Congress in Punjab secured a sweeping majority in the three municipal corporations of Amritsar, Jalandhar, and Patiala which went to polls on Sunday. There were as many as 925 candidates in the fray to the three municipal corporations, with the ruling Congress, the SAD-BJP and the AAP contesting in the elections.Amid tight security, 29 municipal councils and nagar panchayats along with the local bodies of three cities went to polls, the results of which were announced today.The Congress won the wards in the three corporations, prompting celebrations by the party workers in the ruling camp. Congress secured a resounding victory by bagging 66 out of 80 wards in Jalandhar, 56 out of 60 wards in Patiala and in Amritsar the party managed to win 69 of the 85 wards. While SAD-BJP combine won eight wards in Jalandhar and six wards in Amritsar. The AAP was routed in the poll race as it lost all the contested 11 wards.Punjab CM Amarinder Singh issued a statement this evening saying, I congratulate people of Punjab for not succumbing to the pressure tactics of the opposition, which had tried hard to derail the free and democratic poll process with its cheap gimmickry and provocative acts.He cited reports of Akali workers allegedly threatening voters to stay at home and to not come out to cast their ballots. Singh Said, The SAD-BJP combine, faced with imminent defeat, had stooped to historic lows in a desperate bid to wrest these polls. The Opposition had used all possible tactics  from open threats to misleading statements and rumour mongering  to intimidate the voters, but failed miserably. Hailing the high voter turnout as a moral victory, the Punjab CM said, The people of Punjab had once again shown their political maturity and courage in fighting the nefarious designs of the SAD-BJP combine and AAP, both of which had been completely wiped into oblivion from the electoral landscape of the state.There were reports of sporadic incidents of violence in Patiala, which prompted Shiromani Akali Dal to demand a cancellation of the polls in Patiala. The party also alleged rigging at a few polling booths in the city. We are going to High Court against this criminal conspiracy Sukhbir Singh Badal was quoted as saying by ANI.BJP demanded a re-poll in Patiala, Ghagga and some wards in Mullanpur Dakha and Jalandhar, alleging a violation of model code and misuse of machinery by the ruling Congress. Aam Aadmi Party workers marched towards Amarinder Singhs private residence in protest over alleged rigging.Earlier in the day, Punjab Congress president Sunil Jakhar issued a statement towards the end of polling thanking the people and party workers for ensuring smooth and impressive turnout in the Municipal Council and Municipal Committee elections.Jakhar alleged that SAD tried to intimidate voters, he said, Akalis tried their best to scare the voters away from the booths, especially in areas where the Congress has a strong hold, but failed to intimidate them. He added: The preparations made by Captain Amarinder Singh government ensured that the situation remained under control.Jakhar thanked Congress workers for maintaining peace in the face of provocative acts of violence by the opposition.",17/12/17
72,"BJP, Congress raise the heat: Arvind Kejriwal should�resign HOURS AFTER ousted AAP leader Kapil Mishra levelled allegations of corruption against party chief Arvind Kejriwal, the opposition hit out at AAP and demanded Kejriwals resignation.The BJP has already met Lieutenant Governor Anil Baijal over the issue, seeking action against Kejriwal and Health Minister Satyendar Jain and also plans to bring up the issue during the special session of the Delhi Assembly on May 9. The Congress, meanwhile, said it will carry out a five-day campaign to collect 10 lakh signatures, which will be a Right to Recall Referendum.Delhi BJP chief Manoj Tiwari said, We have been demanding his resignation for a long time now but we knew he would not do so as the allegations were being levelled by the Opposition. Now that Mishra has said that he has been an eyewitness to an illegal cash transaction between Jain and Kejriwal, and has evidence to back his claims, Kejriwal has to resign. The CM has belittled the faith people reposed in him and his party when they gave them 67 seats.Tiwari also said the BJP will write to the ED, the CBI and the I-T department to investigate the charges.Today is a black day for Delhi Such a thing has never happened The CM had been pointing fingers at everyone but never took any action against Jain, he said.Delhi Congress chief Ajay Maken, meanwhile, questioned why the central government had not filed an FIR on the basis of the Shunglu Committee report, which found serious cases of corruption, nepotism and favouritism by the Kejriwal government.In less than five years, AAP has flouted all its lofty promises. Maken said. He also demanded the CMs resignation stating that Kejriwal has no moral right to continue.",8/5/2017
73,"Why China's growing footprint in Nepal is a concern for�India Sher Bahadur Deuba has been elected Prime Minister of Nepal at an especially fragile time in the life of the 11-year-old Himalayan republic. Two years after the majority Madhesi population in the Terai blocked several trading points along the southern border with India, there remains deep-seated resentment in large parts of Nepal against the Kathmandu elite.Deuba inherits a divided Nepal, divided between the Madhesis and the upper caste Bahun-Chettris of Kathmandu Valley, with whom New Delhi has been doing business since it bailed out King Tribhuvan in 1950.But what is interesting in today�s Nepal is that India, which had supported the 2006 jan andolan against the monarchy which forced King Gyanendra to hand over power to the people; has all but distanced itself from the Madhes agitation and its demands: the right to be represented in Parliament and other state organs on the basis of population, or the one-man-one-vote principle.Some would say that states must pursue power, and that in Nepal, power has always rested in Kathmandu Valley, not the Terai. And therefore, they would say, India cannot afford to take the high moral ground and continue to interminably support the Madhesis, who constitute 19.3 per cent of Nepals 28.5 million population. They would also argue that the Indian support of the rights of the Madhesis, and consequently the 135-day blockade they mounted from October 2015-February 2016 to demand those rights, has run its course and that its time to turn the page. (Forty five people were killed in the agitation then, including one Indian national, and all of Nepal, especially the Terai, had suffered hardships as essential supplies grew scarce.) However, among the Madhesis in towns such as Birgunj, Janakpur and Biratnagar there is a feeling that India has abandoned the Madhesi cause.As the Kathmandu elite, then led by UML prime minister K P Oli, warmed up to the Chinese during the blockade, India watched uncomfortably. Certainly, it is this fear of the Chinese dragon expanding its presence across Nepal including in the Terai plains which neighbour Bihar, Uttar Pradesh, Uttarakhand, Haryana and West Bengal that has forced India to postpone the big fight on behalf of the Madhesis.K P Oli began to openly woo both the Chinese as well as King Gyanendra when he suspected that the Madhesis may actually come into their own with the help of his former benefactor, India. India watched with growing apprehension as Oli and his foreign minister, the pro-royal Kamal Thapa, promised the Chinese in March 2016 that it would allow them to open another consulate in the picturesque hill town of Pokhara. Beijing had already tempted Oli by offering him Nepali consulates in Lhasa and Guangzhou.In addition, Oli agreed that the Peoples Bank of China could open two more branches in the Terai, apart from the one it already had in Lumbini, where the Chinese are helping revamp the birthplace of the Buddha. The Chinese Northwest Civil Aviation Airport Construction Group is building the Gautam Buddha international airport in nearby Bhairahawa.Then Deubas predecessor, Pushpa Kamal Dahal or Prachanda who knows India well since 2005 when he lived underground in the neighbourhoods of Delhi and Noida to escape the wrath of King Gyanendra did something interesting. He put the Chinese bank projects on hold.India, which had ironically played a key role in Prachandas dismissal in 2008-9 and helped Oli become prime minister, once again came out in support of the Maoist leader. It is no secret that Delhi, upset with Olis betrayal of Madhesi aspirations as well as his solicitations of the Chinese, persuaded its old ally, the Nepali Congress, as well as Madhesi parties to unseat Oli; soon it had brokered a rotating prime ministership between Prachanda and Deuba. Deubas ascension to the prime ministers chair last week, for the fourth time in his political life, is part of this Delhi-brokered agreement. But sometime midway during Prachandas tenure, Delhi lost its nerve on the Madhes issue, fearful that the Chinese were expanding its presence in Indias traditional sphere of influence.The Chinese were pouring money into Nepal, announcing projects everywhere, including in the Terai. Prachandas deputy prime minister, Krishna Bahadur Mahara, flew to Beijing to sign on the Belt and Road Initiative. For the first time, Nepal agreed that its defence forces would participate in exercises with the Chinese.Meanwhile, after the Madhesi andolan ended on an indistinct note in February 2016, several Madhesi leaders went their own ways. Bijay Gacchedar and Upendra Yadav floated their own parties and fell in line with Kathmandu. Others, like Rajendra Mahato and Mahant Thakur, were persuaded by Delhi to form a coalition, the Rashtriya Janata Party of Nepal, along with the smaller Madhesi parties.Delhi now hopes that Deuba, an able Nepali Congress leader, will amend the Constitution on the provincial boundary question as the Madhesis have long demanded; after all, the RJPN and others supported Deubas election on June 6.",16/6/17
74,"AIADMK in fresh factional war over Thevar gold armour CHENNAI: Caste and intraparty politics were on display on Friday when deputy chief minister O Panneerselvam and supporters of AIADMK factional leader T T V Dhinakaran confronted each other in their bid to stake claim to the gold armour kept in the safety locker of the Madurai branch of Bank of India. The armour is taken out every year during Pasumpon Muthuramalinga Thevar's birth and death anniversary observed from October 28 to 30. With the AIADMK in disarray, the big question is who would sign as the party treasurer.Both OPS and TTV belong to the thevar (backward) caste and gaining possession of the armour would mean a symbolic victory in the ongoing fight to regain control of the AIADMK and its symbol. It would also amount to a reassertion of their clout within the community , dominant in many constituencies in the southern districts. The armour was donated by Jayalalithaa in 2014 to adorn the statue of the iconic caste leader in Pasumpon.Jayalalithaa had, in the year 2007, replaced Dhinakaran with Panneerselvam as AIADMK treasurer. In 2014, the former CM, in a letter to the bank, authorized her then trusted lieutenant OPS to operate the joint account and the vault, along with the caretaker of Pasumpon Thevar Ninaivalayam (Pasumpon Thevar Memorial), who is Muthuramalingam's heir. OPS is keen to get the strong backing of his community and it is crucial to him in the power struggle in the ruling camp as well, said a senior minister and a close associate of chief minister Edappadi K Palaniswami.On Friday, Panneerselvam visited the bank with four ministers and ten MLAs in tow, all belonging to the thevar community . The TTV camp, led by the faction's presidium chairman K Anbalagan and party organizing secretary R Samy along with advocates gained access to the bank from the rear. They (OPS camp) even came with garlands of flowers to take the armour. But, we stopped them. How can the traitors lay their hands on the armour gifted by our leader at the behest of our Chinnamma (V K Sasikala)? asked Samy .Apparently , TTV held discussions with legal experts and Sasikala for three days before sending a communication to the bank, authorizing only the heirs of Muthuramalingam to accept the armour. The jailed leader had earlier authorized the faction's treasurer and her relative M Rengasamy . I was the one who paid advance (to the craftsmen who made the armour) and was in touch with them until it was completed. They (TTV camp) don't have any documents, Panneerselvam said.While EPS enjoys support among his kongu vellalar community in the western belt, for OPS it is crucial to flaunt the support of his community in the south in the power games for supremacy in the party.",28/10/17
