ID,Title,Content,Intersection,Union
952,"FCRA violation: SC to hear on Nov 14 CBI's plea against protection granted to Indira Jaising, Anand Grover","The Supreme Court Friday said it will hear on November 14 CBI's appeal challenging the Bombay HC order granting protection from coercive action to senior advocates Indira Jaising, Anand Grover and their NGO in an alleged FCRA violations case. A bench headed by Chief Justice Ranjan Gogoi said that the CBI appeal will be heard along with a PIL seeking expeditious investigation into the alleged violation in receiving foreign grants by the NGO. Earlier, the CBI had filed an appeal in the apex court challenging the Bombay High Court order restraining the agency from taking any coercive action against the NGO and its founding members. Prior to this, the apex court had issued a notice on a PIL filed by Lawyers' Voice, a voluntary organisation of advocates, in which it was alleged that the NGO and its founding members had indulged in violations of the Foreign Contribution (Regulation) Act (FCRA). The CBI had registered a case against Grover and the NGO over the FCRA violation in use of foreign funds received by Lawyers Collective.",Bombay,Bombay
953,PM Modi may unveil investor summit in J&K in October,"NEW DELHI: The government believes that the change in Jammu Kashmir status will encourage private sector investment in the new Union Territory. Till now, officials say, provisions of Articles 370 and 35A have prevented business houses from purchasing land and hiring skilled manpower. According to official statistics, 10 of all central funds have gone to the state between 2000 and 2016 but private investment had been below par due to the special provisions. The change in administrative status, the government believes, will have a positive impact on the ease of doing business as it would give industry ownership of establishments and will encourage hiring. These decisions will allow any individual or business that operates as per the laws of Union of India, to freely operate, under the same rules of business, in the union territories of J K and Ladakh, government officials said.",Ladakh,"NEW DELHI, Ladakh, India, Jammu Kashmir"
954,"India, Kyrgyzstan have prepared 5-yr road map to increase bilateral trade: Modi","Prime Minister Narendra Modi on Friday said India and Kyrgyzstan have prepared a five year road map to increase the bilateral trade and urged the business communities from both countries to explore the untapped potential in various fields. Addressing the India Kyrgyz Business Forum, he said that India and Kyrgyztan have given the final shape to the Double Taxation Avoidance Agreement (DTAA) and the bilateral investment treaty, which would help in creating a proper atmosphere for the bilateral trade. Modi and Kyrgyz President Sooronbay Jeenbekov jointly inaugurated the India Kyrgyz Business Forum. Modi said that "" at a time when the world economy is rapidly changing, we need to look at the opportunities of the economic partnership between the two countries"" . "" There are three catalysts for the growth of the bilateral trade and investment opportunities.","India, Kyrgyzstan","Kyrgyztan, India, Kyrgyzstan"
955,"Vijay Mallya fails to delay USD 40mn Diageo claim, legal costs mount in UK","Even as Vijay Mallya renewed an appeal against his extradition to India, the liquor tycoon suffered another legal setback on Friday in a separate USD 40 million claims case brought by British liquor giant Diageo plc in the UK High Court. Justice Clare Moulder ruled against the 63 year old businessman's application to seek a delay in the full hearing in the case scheduled for May 23 and additionally ordered him to pay legal costs of 34,000 pounds. She was extremely critical of the "" unexplained"" delays by Mallya in clearing the unpaid invoices of his previous solicitors Greenwoods, which resulted in his new solicitors Joseph Hage Aaronson (JHA) finding themselves in "" difficulty"" and wanting to seek an unfair adjournment. "" The delay is at best unexplained and arguably of the defendant's Mallya own making. In my view, the claimants Diageo are entitled to have their claim progressed expeditiously,"" Justice Moulder said, concluding that Mallya was the "" author of its own misfortune"" . ""","India, UK","India, UK"
956,Is Pakistan dragging its feet on Kartarpur corridor?,"NEW DELHI: In contrast to its professed keenness on the project, Pakistan appears to be dragging its feet on the construction of Kartarpur Sahib corridor to help Sikh pilgrims reach the Gurudwara inside Pakistan where Guru Nanak Dev spent 18 years of his life. Even though nearly half of construction work on the 4 lane highway stretch on the Indian side of the Kartarpur Sahib corridor is already complete, Pakistan is nit picking on building an all weather bridge on its side despite the deadline of November when the 550th anniversary of the founder of Sikhism is to be observed. At the May 27 technical expert group meeting on the project, Pakistan offered instead to build a causeway on its side, which NHAI and other officials warned would leave the catchment area of Ravi river prone to flash floods that can submerge it. Sources said the mismatch in highway construction plans on the two sides wherein a four lane highway on the Indian side will meet a two lane highway on the Pakistan side and an all weather bridge on the Indian side of the zero point will connect to a causeway across the border have been raised repeatedly.",Pakistan,"NEW DELHI, Pakistan, Kartarpur, Ravi river"
957,Sharad Pawar meets PM Modi as moves to form Maharashtra govt gather momentum,"NEW DELHI: NCP chief Sharad Pawar on Wednesday met Prime Minister Narendra Modi in Parliament over farmers' distress in Maharashtra, even as the Congress and NCP stepped up momentum on forming the government in the coastal state. Results of the October 21 Assembly polls were declared on October 24 and President's rule was imposed in the state on November 12 after no party or combine staked claim to form the new government. The meeting between Pawar and Modi at the prime minister's chamber in Parliament took place amid talks between the NCP, the Congress and the Shiv Sena for an alliance. "" Due to President's rule in the state, your urgent intervention is highly necessitated. I shall be grateful if you could take immediate steps to initiate massive relief measures to ameliorate distressed farmers,"" the three page memorandum given by Pawar to Modi said.","Maharashtra, NEW DELHI","Maharashtra, NEW DELHI"
958,Court orders CBI to conduct probe against Bihar CM in shelter home case,"MUZAFFARPUR (BIHAR): A court here has directed the CBI to conduct an inquiry against Bihar Chief Minister Nitish Kumar and two senior bureaucrats in connection with the Muzaffarpur shelter home sex scandal. The special POCSO court here passed the order on Friday on an application filed by an accused, Ashwani, a self styled medical practitioner who allegedly used to inject the home's inmates with sedatives before they were subjected to sexual abuse. Ashwani had alleged in his petition that the CBI was "" suppressing facts"" in course of the investigation which would come to light if the roles of former DM, Muzaffarpur, Dharmendra Singh, senior IAS officer Atul Kumar Singh, former divisional commissioner of Muzaffarpur and currently principal secretary, the Social Welfare Department, and Chief Minister Nitish Kumar were probed. POCSO judge Manoj Kumar directed the CBI to conduct an inquiry against them. The trial in the high profile case was transferred vide order dated February 7 by the Supreme Court to the Special POCSO court at Saket in Delhi where hearing is likely to commence from next week, CBI sources said.","Muzaffarpur, MUZAFFARPUR","Delhi, BIHAR, Saket, Muzaffarpur, Bihar, MUZAFFARPUR"
959,Vijay Goel demands ban on lottery in country,"NEW DELHI: Senior BJP leader Vijay Goel Thursday demanded a ban on lottery in the country, saying it is a social evil and hurts the poor the most. Raising the matter during the Zero Hour in the Rajya Sabha, Goel said single digit lottery has been banned and now even multi digit number lotteries too should be banned. He said lottery is a social evil and poor people suffer. Goel said all parties should support his demand. Several members across the House associated themselves with the suggestion.",NEW DELHI,NEW DELHI
960,"Nepal Army, wildlife officer dismiss Indian Army's Yeti claim","The Nepal Army and a wildlife expert have dismissed the Indian Army's claim that its soldiers have spotted footprints of Yeti, the mythical beast found in the Himalayas, near the Makalu Base Camp, saying they were likely that of a bear. On Monday, the Army claimed its mountaineering expedition team in Nepal found mysterious large footprints in the snow that they believe belong to Yeti, or the abominable snowman. In Nepali folklore, Yeti is a mythical ape like creature taller than an average human that is said to inhabit the Himalayas, Siberia, Central and East Asia. "" For the first time, an Indian Army Mountaineering Expedition Team has sited (sic) Mysterious Footprints of mythical beast 'Yeti' measuring 32x15 inches close to Makalu Base Camp on 09 April 2019. This elusive snowman has only been sighted at Makalu Barun National Park in the past,"" the Indian Army tweeted on Monday night.",,"Siberia, Makalu Base Camp, Nepal, Central and East Asia, Makalu Barun National Park"
961,"Punjab releases Rs 1,353 crore for power subsidy, retirement benefits","CHANDIGARH: On the directives of Punjab Chief Minister Captain Amarinder Singh, the Finance Department has released Rs. 1353.03 crores on account of power subsidy to Punjab State Power Corporation Limited (PSPCL), local government and Punjab State Warehousing Corporation, besides payment of retiral benefits to employees, who had superannuated till September 30, 2019. Disclosing this here, a spokesperson of the Chief Minister Office said that funds to the tune of Rs. 400 crore had been released to the PSPCL for agriculture power subsidy to farmers, with another Rs.181.63 crore released for making payments for retiral benefits including GPF/Leave Encashment to employees who had retired up to September 30, 2019. A sum of Rs.153.90 crore has been given to Local Government department for Punjab Municipal Fund.",CHANDIGARH,"Punjab, CHANDIGARH"
962,"Significant increase in popularity of yoga in US, says Indian Ambassador","WASHINGTON: There has been a significant increase in the popularity of yoga in the United States after the UN in 2014 declared June 21 as the International Day of Yoga, India's Ambassador to the US Harsh Vardhan Shringla said. Addressing hundreds of yoga enthusiasts at the National Monument here on Sunday morning, Shringla said that yoga has been widely adopted by people all over the world, transcending linguistic and cultural boundaries, and has millions of practitioners in USA. The popularity of yoga has seen a significant increase in the United States and in fact all over the world in recent years,"" he said. Prime Minister Narendra Modi has praised the Indian missions abroad for organising events on yoga and urged everyone to participate in it. "" Across all continents, the Yoga Day 2019 celebrations have begun with immense fervour.",,"WASHINGTON, United States, India"
963,"India, France conclude pathbreaking roadmap on digital technology partnership","PARIS: India and France on Thursday concluded a path breaking road map to make digital technology a transformative factor in their societies, to fight terror, to foster economic growth, sustainable development and secure enhanced internet access which is essential to bridge digital divide. France and India affirm their commitment to an open, reliable, secure, stable and peaceful cyberspace. International law, and in particular the Charter of the United Nations, is applicable and is essential to maintaining peace and stability and promoting an open, secure, peaceful and accessible Digital environment. They reaffirm the importance of promoting, and implementing voluntary norms of responsible State behaviour in cyberspace as well as confidence and capacity building measures developed within the framework of the United Nations. This ensemble is the foundation of peace and security in cyberspace, according to Indo French roadmap on cyber security and digital technology that was agreed at the Summit meet between Indian PM and the President here on Thursday.","France, India","France, PARIS, India"
964,General category quota aimed at empowering poor; Rao failed for not following proper process: Thaawar Chand Gehlot,"NEW DELHI: Union Minister Thaawar Chand Gehlot has said the BJP government's move to provide 10 per cent quota for the economically backward section in the general category was aimed at empowering the poor and not for electoral benefits as alleged by the opposition parties. He claimed the Congress government led by Narasimha Rao had tried to provide reservation for the general category poor but did not follow proper procedure. The BJP government has fulfilled the long pending demand as it was committed to the issue and did not want to betray the people of the country, Gehlot said. "" The poor belonging to the general category had for long been demanding quota for them, like that for the SC, ST and OBCs. Our government under Prime Minister Narendra Modi's leadership has done justice to them,"" the Union minister, a Dalit face within the BJP, said.",NEW DELHI,NEW DELHI
965,Kashmiris fighting war of their future: Malik,"Srinagar: Jammu Kashmir Liberation Front (JKLF) chairman Muhammad Yasin Malik on Friday said the people of Jammu and Kashmir are fighting a war of their future and welfare. He said Kashmiris are a living nation and know how to safeguard their identity, dignity, and honor and continue their freedom struggle against all odds. Our struggle for freedom is actually based on truth and justice and we have been shown and taught this way of continuous struggle by spiritual leaders like Makhdoom Sahib (RA), he said. Malik while addressing people at the shrine of Sultan ul Aarifeen Makhdhoom Sahab (RA) said that if India, Pakistan and the world want to promote peace, stability, property, tolerance and brotherhood in this region, they all will have to accept the owner status of Kashmiris and take positive steps to resolve this issue keeping in view the sacrifices, aspirations and struggle of Kashmiris.","Jammu and Kashmir, Jammu Kashmir","Jammu and Kashmir, Srinagar, India, Pakistan"
966,This Is An Assault On Islam Itself,"THE scale of the carnage inflicted by extremists over the past week alone has been staggering. 200 killed by a truck bomb in a crowded Baghdad market 44 killed at an airport in Istanbul, Turkey 23 killed in a siege of a caf in Dhaka, Bangladesh. But among the most horrifying in its symbolism for many of the world Muslims was the attack on the holy city of Medina the resting place of the Prophet Muhammed (Pbuh) and the second holiest site in Islam. For many Muslims worldwide, as Haroon Moghul, senior fellow at the Center for Global Policy, writes, this was an assault on Islam itself. The Medina attack prompted an outpouring of outrage and condemnation, prompting hashtags such as PrayForMadinah and bombingattheholysiteofmedina to trend on social media.","Istanbul, Baghdad, Turkey","Bangladesh, Istanbul, Turkey, Dhaka, Baghdad"
967,Div Com Unfurls Tri-colour In Srinagar,"SRINAGAR: In connection with celebrations of 68th Repub lic Day of India, functions were held across the Kashmir valley, an officialspokesperson said. The main function was held at Bakshi Stadium in Srinagar where Divisional Commission er Kashmir, Baseer Ahmad Khan unfurled the tri colour and took salute at the march past presented by the con tingents of JK Police, JKAP, ITBP, BSF, CRPF, Ladies Po lice, Fire and Emergency Ser vices, Forest Protection Force, NCC cadets and students. Among others, Inspector General of Police Kashmir, SJM Gillani, Deputy Commis sioner Srinagar, Dr Farooq Ahmad Lone, IGP IRP, Sunil Kumar, senior officers of civil administration, Police and Paramilitary Forces besides large gathering of people at tended the function. Speaking on the occasion, the Divisional Commissioner highlighted various develop mental works undertaken in Kashmir division. He said divisional adminis tration is making all out efforts to provide better civic facilities to the people, besides ensuring efficient public delivery system across the valley.","SRINAGAR, India, Kashmir","SRINAGAR, Srinagar, India, Kashmir, Bakshi Stadium"
968,Forces Conduct Search Operation In Balgarden Area Of Srinagar,"SRINAGAR Government forces on Saturday conducted Cordon and Search Operation in Balgarden area of Srinagar, official sources said. However, no one was arrested, they said. They said paramilitary forces and Special Operation Group (SOG) of Jammu and Kashmir police sealed all exit points in Balgarden area of the city, just half a km from District PoliceLine(DPL), Srinagar. Forces later searched shops and other buildings in the area. The shopkeepers, customers, pedestrian and commuters were frisked and allowed to go only after their identity cards were checked.",Srinagar,"Srinagar, SRINAGAR, Jammu and Kashmir, Balgarden"
969,Uri Episode Has Questioned Our Collective Societal Values: Mehbooba,"SRINAGAR Peoples Democratic Party (PDP) President Mehbooba Mufti has demanded exemplary punishment to the culprits involved in the gory act of rape and brutal murder of a 9 year old kid at Booneyar, Uri. The PDP chief visited the victim s family at Booneyar and expressed deep sorrow over the brutal and shameless incident that has devastated the family to the core and shocked the entire state. Terming the incident shameful, shocking and outrageous, Mehbooba said such a gruesome episode has put a question mark on the state collective societal values and it is a high time that everyone needs to introspect and confederate to demand stern , unforgiving and harsh punishment to those who have committed such a devilish and barbaric act. Appreciating the efforts of Jammu and Kashmir police in delivering swift justice to the victim s family, Mehbooba further remarked that the support the police got in napping the culprits reflects the fact that such barbaric acts will find no societal acceptance in Kashmir, a place which is known in the entire world for its rich traditions and values. While meeting the victim s family, the former chief minister was accompanied by several senior party leaders including Syed Altaf Bukhari, Raja Aijaz Ali and several others.","SRINAGAR, Uri, Kashmir","SRINAGAR, Uri, Jammu and Kashmir, Booneyar, Kashmir"
970,Court Hands Over Control of Imam Hussain Hospital to Trust,"SRINAGAR A court in Srinagar has ordered founder trustees of Imam Hussain (AS) hospital to take control of the medical facility at Bemina, Srinagar, underling that they have every right to manage its affairs. This is seen as a major setback to PC leader Imran Ansari led group which had taken over control of the hospital few years back throwing out founder trustees. Sub Judge Forest Magistrate Court vacated its April 4 2018 order against the trustees and directed them to take control back , advocate Baber Qadri, who was representing the trustees said. There is no doubt that some of the applicants and inhabitants of Bemina donated their land for the establishment of the Trust but neither applicants nor the inhabitants who donated the land can question functioning of the Trust by its trustees, the court said in an order while disposing of an application against the trustees. The court said that while the applicants claim running the management of the Trust and also operation of its bank accounts but they have failed to explain as to in what capacity they are doing so.","Srinagar, SRINAGAR","Srinagar, SRINAGAR, Bemina"
971,Mobile Internet Services Suspended In Kashmir On R-Day,"SRINAGAR Mobile internet services were suspended across Kashmir on Saturday on the occasion of Republic Day. Mobile internet services were snapped in the early hours as stringent security arrangements were put in place for Republic Day celebrations across Kashmir Valley, a police official said. He said the services were snapped as a precautionary measure. However, the mobile phone services, which used to be suspended for the duration of the Republic Day ceremony here, were functioning as usual. While suspension of mobile phone and internet services have become a routine since 2005, there have been a few occasions when the authorities did not resort to this step as part of the security drill in Kashmir.","SRINAGAR, Kashmir","SRINAGAR, Kashmir"
972,Lok Adalat at Kokrajhar to be held on Dec 12,"KOKRAJHAR, Dec 9 A National Lok Adalat under the aegis of the District Legal Services Authority (DLSA) will be held on the Kokrajhar district court premises on December 12. As per officials of the Kokrajhar DLSA, a total of about 3,159 cases will be taken up at the National Lok Adalat on Saturday. Civil, criminal, motor accident claims, bank related cases like bank loan recovery and cases in the pre litigation stage will also be taken up during the proceedings. It may be mentioned here that the order passed by a Lok Adalat is final, having no provision of appeal and fully enforceable like any other decree of the court passed after trial. The District Legal Service Authority, Kokrajhar has appealed to litigants across the district to avail benefits from the Lok Adalat.",,"KOKRAJHAR, Kokrajhar"
973,Centenary celebration of the Diocese of NE,"TEZPUR, Jan 17 Former Bishop of the Diocese of North East India, Rt Rev EW Talibuddin from New Delhi, said recently that he believes a new generation of future leaders is coming up in our country. The Christian priest, who was delivering his discourse before a mammoth gathering on the occasion of the open session of the two year long centenary celebration of the Diocese of the North East region, which concluded here at the old Mission compound on January 11 last, said that every generation feels that it is at the epitome of human progress and morals, and hence they often look down upon the people of the older generation thinking the latter are technologically backward, while the older ones do the same, saying that the members of the new generation are not so wise. There are so many people on the internet, who believe that giving a smart phone to a 10 year old is ruining their childhood, but they fail to notice that it s the same as the Nintendo or a brick game device they had played when they were young. Our youth now love luxury. They have bad manners, contempt for authority they show disrespect for their elders and love chatter in place of exercise they no longer stand up when elders enter the room they argue with their parents, chatter before company gobble up their food and tyrannise their teachers.","TEZPUR, New Delhi","India, TEZPUR,  North East , New Delhi"
974,Meritorious HSLC candidates feted,"Distinction holders of HSLC Examination 2015 posing for photographs with dignitaries at Udalguri on Saturday on the occasion of a felicitation programme organised by the Bodoland Students Union, Udalguri district committee. Photo: Udalguri Correspondent UDALGURI, June 14 HSLC is the first public examination, which is now the turning point of a student's life. From now onwards, they must work hard to achieve their targets. This was observed by Dr Anjali Daimari, associate professor of English of Gauhati University while presenting her keynote address during the felicitation programme for HSLC examination candidates who passed with flying colours from Udalguri LAC in the recently declared HSLC examination results. Addressing the assembly of HSLC candidates, guardians, parents and teachers here at Bishnu Rabha Kristi Sangha premises on Saturday, Rihon Daimari, MLA of Udalguri LAC expressed his satisfaction over the increasing trend of better results of HSLC candidates every year from his constituency and hoped that people of Udalguri will see more rank holders in the near future.",Udalguri,"UDALGURI, Udalguri, Gauhati, Bishnu Rabha Kristi Sangha"
975,Kasimpur adopted as model piggery village ,"NALBARI, April 2 Under the National Initiative on Climate Resilient Agriculture (NICRA) scheme, sponsored by the Assam Agricultural University, Jorhat, the Krishi Vigyan Kendra, Nalbari adopted Kasimpur in Nalbari district as a model piggery village with a view to encouraging scientific rearing of pig. The KVK, Nalbari has decided to provide improved cross breed variety of piglets to hundred families of the village. Initially, piglets were provided to 40 families in a function held at KVK, Nalbari recently. The Director of Research (Veterinary) under the AAU, Dr Apurba Chakravarty distributed the piglets among the beneficiaries of the village. Dr Chakravarty said the scientific piggery culture would bring more financial benefits to the poor villagers of Kasimpur.","Kasimpur, Nalbari, Jorhat","Kasimpur, NALBARI, Nalbari, Jorhat, Assam "
976,Manmohan Singh defends himself on scam charges,"NEW DELHI, May 27 Under attack over allegations in the 2G scam, former Prime Minister Manmohan Singh today asserted that he had never used public office to enrich himself, his family or friends, reports PTI. As far as I am concerned, I can say in all humility that I have not used my public office to enrich myself, to enrich my family or to enrich my friends. And still the BJP government keeps on harping on this theme of corruption just because it wants to distract the attention of the people to non issues, he said in an uncharacteristic hard hitting speech at a convention organised by the Congress student wing NSUI here. Singh s statement came in the backdrop of former TRAI chairman Pradip Baijal s allegations that Singh had warned him of harm if he did not cooperate on 2G telecom licenses. Baijal, who was probed for several years in connection with the 2G spectrum allocation scam case, also claimed that the CBI wanted him to implicate Arun Shourie and Ratan Tata in the case.",NEW DELHI,NEW DELHI
977,Toilets for model village,"GUWAHATI, Sept 16 The Numaligarh Refinery Limited (NRL) has handed over the first batch of toilets to the villagers of the ongoing Gandhigaon model village project under which 76 toilets are being constructed. NRL DGM CSR Pankaj Kumar Barua handed over the first lot of four toilets symbolically to the beneficiaries yesterday as more are being lined up for handing over in the next few weeks. Surajit Duta, Project Manager of project partner Nanda Talukdar Foundation (NTF) was also present, a statement from NRL said. Gandhigaon of Sarupathar Assembly Constituency is a backward village and none of the 76 villagers have proper sanitary toilets. Only in recent months, the NRL has on its own initiative brought in electricity to the village.",,"GUWAHATI, Gandhigaon, Sarupathar"
978,7 felicitated for protecting environment,"AIZAWL, March 16 Aizawl based Association for Environmental Preservation (ASEP) has felicitated seven people in recognition of their outstanding contribution towards environmental protection. The NGO was sponsored by Compensatory Afforestation Fund Management and Planning Authority (CAMPA). In a felicitation function held at Aizawl Press Club recently, ASEP president K Lalmuansanga presented citations to the winners. The prestigious award was posthumously awarded to Jacob Vanlaltanpui and C Laldampuia, both from Bualpui H who sacrificed their lives while attempting to prevent illegal fishing with explosives in Tiau river on April 24, 2008. Darmawii from Bawlte village, who lost her life while undertaking a valiant effort to douse forest fire, was also awarded posthumously.",Bawlte,"Bawlte, Bualpui, Aizawl, Tiau river, AIZAWL"
979,NH bandh called in Nagaland from Oct 17,"DIMAPUR, Oct 11 The Co ordination Committee on Fuel Adulteration (CCoFA), comprising 21 civil society organisations, has decided to impose National Highway (NH) bandhs in Nagaland from October 17. The committee resorted to the move following the expiry of its 15 day deadline served to the Nagaland Government to recommend a CBI probe into the fuel adulteration racket in the State. The CCoFA, in a release, stated that the bandh was to begin from October 8, but was postponed to October 17 considering the Durga Puja festival. It said the decision to enforce the State wide bandh was taken at a meeting held on October 8 in the backdrop of the September 10 public meeting resolution in Dimapur. In the first phase of the bandh on October 17, the committee said movement of all government registered vehicles and fuel tankers would be totally restricted along NH 29 (AH 1).","DIMAPUR, Dimapur, Nagaland","DIMAPUR, Dimapur, Nagaland"
980,Skill development initiatives discussed,"GUWAHATI, June 24 With the Skill India initiative s special focus on Assam and to extend more opportunities to the youth of the State, S Ramadorai, Chairman, National Skill Development Corporation (NSDC) today met Chief Minister of Assam, Sarbananda Sonowal to fast track the skill development initiatives for youth in the State. In the meeting, S Ramadorai shared NSDC s plan of setting up a regional office in Guwahati to ensure focused implementation of development skill initiatives in the State, amplify mass awareness campaigns and ensure better coordination with the State government. The office will also help in capturing the local requirements and in reviewing the progress of skill development closely. Assam Government is completely aligned with the goals of Skill India and we are certain to see some great support in creating a successful skill development model in the State. Chief Minister emphasised that it is crucial to leverage the demographic advantage and assured NSDC with all the necessary support, which will scale up skill development efforts in Assam, said Ramadorai.","GUWAHATI, Assam","GUWAHATI, India, Assam, Guwahati"
981,"DDK, programme for farmers on March 12","GUWAHATI, March 6 DDK, Guwahati will telecast a live programme Aamar Pathar Aamar Katha on March 12, which will involve experts, farmers and other stakeholders and will highlight various issues concerning the agriculture sector. The live telecast will be available on Channel 1 and DD North East. The time of telecast is from 3 to 5 pm. Aamar Pathar Aamar Katha , supported by the Union Ministry of Agriculture, will be held at the Livestock Research Centre, Hekera, Kamrup. This discussion is expected to benefit the farmers who will have the opportunity to get their queries answered by the experts.","GUWAHATI, Guwahati","GUWAHATI, Guwahati, Hekera, Kamrup"
982,Biswakarma puja today,"The Assam Tribune complex wears a festive look on the eve of Biswakarma puja, in Guwahati on Friday. AT Photo GUWAHATI, Sept 16 Biswakarma puja, the ritual of revering the presiding deity of architecture and craftsmanship, would be celebrated with traditional fanfare across the State on Saturday. Every year on this day, offices, workshops, business establishments, factories and other industrial and architectural units celebrate the puja in a grand manner that takes the form of festivities in the State, with brightly illuminated buildings and puja pandals in every locality. Along with the rest of the State, Guwahati too is geared up for celebrating Biswakarma puja. While the markets are bedecked with puja essentials, like colourful garlands, flowers, Biswakarma idols, etc.","GUWAHATI, Guwahati","GUWAHATI, Guwahati, Assam"
983,"Rs 87,000 cr deposits in Jan Dhan accounts","NEW DELHI, Jan 1 Deposits in Jan Dhan account have more than doubled to Rs 87,000 crore in 45 days post demonetisation, prompting the tax department to dissect information relating to such deposits, a top government official said. Besides, the tax department also has data on small cash deposits between Rs 30,000 50,000 made in 4.86 lakh accounts totalling to Rs 2,000 crore. Between November 10 and December 23, the total deposits in Jan Dhan accounts reported is Rs 41,523 crore in 48 lakh accounts. This, together with the total deposits of Rs 45,637 crore as on November 9, takes the aggregate amount in Jan Dhan accounts to over Rs 87,100 crore. All these information received on Jan Dhan Accounts are being dissected.",NEW DELHI,NEW DELHI
984,Ri-Bhoi administration holds meeting to diffuse tension,"SHILLONG, May 29 Ri Bhoi district administration in Meghalaya today held a meeting with members of the civil society, village headmen, NGOs and Nongpoh Member of District Council, Rona Khymdeit, in order to maintain peace in the district. The meeting was chaired by Ri Bhoi Deputy Commissioner CP Ghotmare this evening in which senior officials including Superintendent of Police, Ram Singh and Additional District Magistrates were present. The meeting was held after a spate of violent incidences reported in the district on Saturday and subsequent lathi charge by the district police to control the situation. The district administration has imposed section 144 CRPC in the entire district. All those present in the meeting today expressed their desire to bring normalcy in the district by extending assistance to the district administration, especially in view of the 25th anniversary celebration of the district, Ghotmare said over phone from Nongpoh, the district headquarters of Ri Bhoi.",Nongpoh,"Nongpoh, Meghalaya, SHILLONG, Ri Bhoi, Ri-Bhoi"
985,Hemanta Misra Memorial Lecture organised,"GUWAHATI, Oct 13 The Hemanta Misra Memorial Lecture was held at Vivekananda Kendra Institute of Culture here last evening, under the aegis of Hemanta Misra Trust. This event took place previously in 2013 and 2015 and this year was its third edition. Born on October 13, 1917, Hemanta Misra was a self taught artist and emerged as a pioneer of surrealism in the country. During his college days, he took a correspondence course in art from the well known British artist John Hassall Ri of England. There was an illustrated presentation on the art of Hemanta Misra by Dr Moushumi Kandali, an art critic, art historian and a reputed creative writer and by Dr Rajkumar Mazinder, a well known name in the field of visual arts in Assam and North East India.",GUWAHATI,"GUWAHATI, North East India, England, Assam"
986,Health care award to city hospital,"GUWAHATI, Dec 27 City based Hayat Hospital has received the Six Sigma Excellent Health Care Award for 2017 for excellence in the field of health care service in the North East. Among the 477 nominations from the various hospitals of the country, Hayat Hospital has been selected for the award from the North East by the jury that included Dr Kirit P Solanki, MP from Gujarat MC Misra, former Director, AIIMS and 14 others from various fields of medical science. The criteria for the selection included infrastructure, quality of service, expertise of clinical and non clinical staff of the hospital, cleanliness etc. , Parag Jyoti Dutta, GM, Hayat Hospital said in a press release. CEO of Hayat Hospital Rajib Saikia received the award from Randeep Golaria, Director of AIIMS and Pawan Kapur of Indian Air Force in presence of Medical Superintendent of AIIMS Dr Shakti Gupta and Miss World Manushi Chillar.","Gujarat, GUWAHATI","GUWAHATI, Gujarat, North East"
987,Another plume in NRL's beret,"GUWAHATI, May 15 Numaligarh Refinery Limited (NRL) has bagged the prestigious National Technology Award 2017 instituted by the Technology Development Board under the Centre s Department of Science and Technology for commercialisation of wax de oiling technology developed jointly in collaboration with the Indian Institute of Petroleum and Engineers India Limited. The award, comprising of Rs 25 lakh and a trophy, was presented by President Pranab Mukherjee to NRL MD P Padmanabhan and NRL Director (Finance) SK Barua in the presence of Union Science and Technology Minister Dr Harsh Vardhan at a function organised to celebrate the 19th National Technology Day at the Vigyan Bhawan in New Delhi recently, an NRL statement said. The 50,000 MT NRL Wax Plant commissioned in March 2015 at a cost of Rs 676 crore is the country s largest wax producing unit leveraging on the inherent properties of wax rich crude oil from the oil fields of Assam.","GUWAHATI, Assam, New Delhi","India, GUWAHATI, Assam, New Delhi, Vigyan Bhawan"
988,SC reserves order on BJP leaders,"NEW DELHI, April 6 The Supreme Court today reserved its order on a petition seeking restoration of conspiracy charges against senior BJP leaders LK Advani, MM Joshi and Uma Bharti in the Babri Masjid demolition case. The apex court will also decide whether the trial of the VVIPs accused can be transferred from a court in Rae Bareli to Lucknow. There were two sets of cases relating the demolition of the disputed structure on December 6, 1992. The first involved unnamed karsevaks , the trial in which is taking place in a Lucknow court, while the second set of cases relates to the VVIPs in a Rae Bareli court.A bench comprising Justices PC Ghose and RF Nariman also indicated they may order holding of joint trial of the two sets of cases by transferring the trial from Rae Bareli to a Lucknow court. The bench also said since 25 years have already passed, in the interest of justice it will consider ordering a timebound trial on day to day basis, to be completed preferably within two years.","Lucknow, NEW DELHI","Lucknow, NEW DELHI, Rae Bareli, Babri Masjid"
989,O Joy resigns from BJP,"IMPHAL, July 30 Manipur's former opposition leader Okram Joy Singh has resigned from the primary membership of BJP on Monday. Spokesperson of BJP State unit, Singh submitted his resignation paper to the State unit president. Flanked by supporters, O Joy in a press meet here today said he resigned because the people and their issues are more important than the party. The major reason behind his resignation is because of the prevailing unresolved public issues including Border Pillar 81, Manipur University crisis, the issue of Framework Agreement and 7th Pay Commission in the State. He alleged that BJP, which had been demanding removal of special status from the States, is now trying to impose the special status.",,"Manipur, IMPHAL"
